rollcall_id,roll_num,date,bill_id,question,result,description,year,congress,session
2019:001,1,3-Jan,QUORUM,Call by States,P,,2019,116,1
2019:002,2,3-Jan,,Election of the Speaker,P, ,2019,116,1
2019:003,3,3-Jan,H.RES.5,On Motion to Table the Motion to Refer,P,"Providing for consideration of H.Res. 6, adopting the Rules of the House of Representatives for the 116th Congress; providing for consideration of H.R. 21, making appropriations for the FY ending September 30, 2019, and for other purposes",2019,116,1
2019:004,4,3-Jan,H.RES.5,On Ordering the Previous Question,P,"Providing for consideration of H.Res. 6, adopting the Rules of the House of Representatives for the 116th Congress; H.R. 21, making appropriations for the FY ending September 30, 2019; H.J.Res. 1, making further continuing appropriations for the Department of Homeland Security for FY 2019, and for other purposes",2019,116,1
2019:005,5,3-Jan,H.RES.5,On Motion to Commit with Instructions,F,"Providing for consideration of H.Res. 6, adopting the Rules of the House of Representatives for the 116th Congress; H.R. 21, making appropriations for the FY ending September 30, 2019; H.J.Res. 1, making further continuing appropriations for the Department of Homeland Security for FY 2019, and for other purposes",2019,116,1
2019:006,6,3-Jan,H.RES.5,On Agreeing to the Resolution,P,"Providing for consideration of H.Res. 6, adopting the Rules of the House of Representatives for the 116th Congress; H.R. 21, making appropriations for the FY ending September 30, 2019; H.J.Res. 1, making further continuing appropriations for the Department of Homeland Security for FY 2019, and for other purposes",2019,116,1
2019:007,7,3-Jan,H.RES.6,On Agreeing to Title I of the Resolution,P,"Adopting the Rules of the House of Representatives for the One Hundred Sixteenth Congress, and for other purposes",2019,116,1
2019:008,8,3-Jan,H.J.RES.1,On Motion to Recommit with Instructions,F,"Making further continuing appropriations for the Department of Homeland Security for fiscal year 2019, and for other purposes",2019,116,1
2019:009,9,3-Jan,H.J.RES.1,On Passage,P,"Making further continuing appropriations for the Department of Homeland Security for fiscal year 2019, and for other purposes",2019,116,1
2019:010,10,3-Jan,H.R.21,On Motion to Recommit with Instructions,F,"Making appropriations for the fiscal year ending September 30, 2019, and for other purposes",2019,116,1
