"Alabama","22","1812"
"Alaska","25","57"
"Arizona","18","3285"
"Arkansas","15","558"
"California","10","8904"
"Colorado","16","479"
"Connecticut","16","107"
"Delaware","18","78"
"Florida","22","10177"
"Georgia","22","3475"
"Hawaii","20","28"
"Idaho","20","637"
"Illinois","18","1396"
"Indiana","21","697"
"Iowa","22","588"
"Kansas","26","810"
"Kentucky","19","446"
"Louisiana","18","2087"
"Maine","16","11"
"Maryland","16","740"
"Massachusetts","15","215"
"Michigan","16","1036"
"Minnesota","18","570"
"Mississippi","21","1025"
"Missouri","25","841"
"Montana","20","111"
"Nebraska","13","272"
"Nevada","17","918"
"New Hampshire","21","22"
"New Jersey","14","389"
"New Mexico","16","327"
"New York","17","465"
"North Carolina","12","1812"
"North Dakota","16","72"
"Ohio","19","1316"
"Oklahoma","21","1075"
"Oregon","22","277"
"Pennsylvania","20","1001"
"Rhode Island","17","699"
"South Carolina","25","1856"
"South Dakota","14","80"
"Tennessee","23","2103"
"Texas","17","10785"
"Utah","18","454"
"Vermont","18","13"
"Virginia","18","1078"
"Washington","11","747"
"West Virginia","20","150"
"Wisconsin","25","869"
"Wyoming","15","34"
