StateFKey,Date,NumOfNewCases
21,2020-02-01,1
21,2020-02-02,0
21,2020-02-03,0
21,2020-02-04,0
21,2020-02-05,0
21,2020-02-06,0
21,2020-02-07,0
21,2020-02-08,0
21,2020-02-09,0
21,2020-02-10,0
21,2020-02-11,0
21,2020-02-12,0
21,2020-02-13,0
21,2020-02-14,0
21,2020-02-15,0
21,2020-02-16,0
21,2020-02-17,0
21,2020-02-18,0
21,2020-02-19,0
21,2020-02-20,0
21,2020-02-21,0
21,2020-02-22,0
21,2020-02-23,0
21,2020-02-24,0
21,2020-02-25,0
21,2020-02-26,0
21,2020-02-27,0
21,2020-02-28,0
21,2020-02-29,0
21,2020-03-01,0
21,2020-03-02,1
21,2020-03-03,0
21,2020-03-04,0
21,2020-03-05,1
21,2020-03-06,5
21,2020-03-07,5
21,2020-03-08,15
21,2020-03-09,13
21,2020-03-10,51
21,2020-03-11,3
21,2020-03-12,13
21,2020-03-13,15
21,2020-03-14,15
21,2020-03-15,26
21,2020-03-16,32
21,2020-03-17,21
21,2020-03-18,35
21,2020-03-19,63
21,2020-03-20,80
21,2020-03-21,104
21,2020-03-22,113
21,2020-03-23,108
21,2020-03-24,349
21,2020-03-25,610
21,2020-03-26,471
21,2020-03-27,786
21,2020-03-28,963
21,2020-03-29,594
21,2020-03-30,768
21,2020-03-31,1024
21,2020-04-01,1197
21,2020-04-02,1214
21,2020-04-03,1493
21,2020-04-04,1273
21,2020-04-05,823
21,2020-04-06,1306
21,2020-04-07,1382
21,2020-04-08,1594
21,2020-04-09,2171
21,2020-04-10,2107
21,2020-04-11,1790
21,2020-04-12,2467
21,2020-04-13,1318
21,2020-04-14,1237
21,2020-04-15,1689
21,2020-04-16,2197
21,2020-04-17,2099
21,2020-04-18,1997
21,2020-04-19,1623
21,2020-04-20,1526
21,2020-04-21,1482
21,2020-04-22,1820
21,2020-04-23,3196
21,2020-04-24,4892
21,2020-04-25,2417
21,2020-04-26,1536
21,2020-04-27,1536
21,2020-04-28,2010
21,2020-04-29,2131
21,2020-04-30,1982
21,2020-05-01,2096
21,2020-05-02,2000
21,2020-05-03,1220
21,2020-05-04,1319
21,2020-05-05,1252
21,2020-05-06,2022
21,2020-05-07,1694
21,2020-05-08,1643
21,2020-05-09,1419
21,2020-05-10,1035
21,2020-05-11,685
21,2020-05-12,884
21,2020-05-13,1174
21,2020-05-14,1649
21,2020-05-15,1254
21,2020-05-16,1488
21,2020-05-17,1071
21,2020-05-18,1045
21,2020-05-19,897
21,2020-05-20,1039
21,2020-05-21,1104
21,2020-05-22,813
21,2020-05-23,750
21,2020-05-24,1024
21,2020-05-25,593
21,2020-05-26,436
21,2020-05-27,515
21,2020-05-28,666
21,2020-05-29,646
21,2020-05-30,742
21,2020-05-31,703
21,2020-06-01,3797
21,2020-06-02,379
21,2020-06-03,441
21,2020-06-04,468
21,2020-06-05,491
21,2020-06-06,591
21,2020-06-07,309
21,2020-06-08,173
21,2020-06-09,273
21,2020-06-10,269
21,2020-06-11,504
21,2020-06-12,398
21,2020-06-13,327
21,2020-06-14,207
21,2020-06-15,84
21,2020-06-16,199
21,2020-06-17,267
21,2020-06-18,269
21,2020-06-19,240
21,2020-06-20,285
21,2020-06-21,119
21,2020-06-22,152
21,2020-06-23,241
