StateName,NumberOfHospitals,TotalPopulation,NumHospPer10000People,CaseFatalityRate
Connecticut,114,904836,1.2598968210813895,9.3718
Michigan,536,11151,480.6743789794637,8.9616
"New Jersey",181,272282,6.647519850742979,7.6605
Pennsylvania,371,101209,36.65681905759369,7.4596
Massachusetts,298,219258,13.591294274325225,7.3550
"New Hampshire",47,60595,7.756415545837116,6.1580
Ohio,445,28346,156.98864037253932,5.9293
Louisiana,435,60694,71.67100537120638,5.8561
Indiana,300,34171,87.79374323256563,5.8430
Missouri,366,25204,145.21504523091573,5.6294
Colorado,158,430521,3.6699719642015136,5.3924
"Rhode Island",27,49948,5.40562184672059,5.3329
"New York",412,301272,13.675349849969464,5.1990
Illinois,417,66997,62.2415929071451,4.8604
Vermont,24,36740,6.532389765922701,4.8318
Maryland,290,73842,39.273042441970695,4.6752
Delaware,31,156821,1.976776069531504,4.6537
"New Mexico",129,644693,2.00095239129322,4.3944
Mississippi,150,31886,47.04258922411089,4.3192
Georgia,492,18053,272.53088129396775,4.1905
Washington,202,17878,112.9880299809822,4.1751
Minnesota,326,16036,203.29259166874533,4.1717
Kentucky,206,18264,112.79018834866403,3.9028
"West Virginia",96,16055,59.79445655559016,3.5480
Nevada,83,24790,33.48124243646632,3.4998
Maine,48,107233,4.4762339951320955,3.4068
Oklahoma,236,22252,106.0578824375337,3.3642
Florida,988,243163,40.63118155311458,3.1315
California,1555,1483683,10.480675454258085,2.9507
Wisconsin,192,20637,93.03677860154093,2.9456
Montana,85,9066,93.75689388925657,2.8264
Virginia,309,35843,86.20930167675698,2.7896
Alabama,237,52077,45.50953395932945,2.7784
Oregon,98,16080,60.94527363184079,2.6370
Iowa,249,7618,326.8574428983985,2.6072
"South Carolina",323,25382,127.25553541880073,2.5288
Idaho,191,380578,5.018682109843448,2.4479
Arizona,258,70429,36.632637123912026,2.3940
"North Dakota",73,2317,315.06258092360815,2.3494
"North Carolina",515,147950,34.80905711388983,2.3274
Hawaii,72,178724,4.028558000044762,2.1066
Kansas,216,13387,161.3505639799806,2.0618
Texas,1169,57516,203.24779191877045,1.8007
Wyoming,32,34642,9.237341954852491,1.5949
Tennessee,272,74255,36.6305299306444,1.4854
Arkansas,139,19202,72.3882928861577,1.4817
Nebraska,157,32194,48.76685096601852,1.4490
"South Dakota",76,2794,272.0114531138153,1.3063
Alaska,34,3050,111.47540983606558,1.1161
Utah,121,6384,189.53634085213034,0.8291
