Date,Year,StateName,CountyName,CovidDeaths,CovidCases,TotalPopulation,DeathsPer10000People,CasesPer10000People
2020-06-23,2020,Georgia,"Hancock County",32,208,8667,36.9217,239.9908
2020-06-23,2020,Georgia,"Randolph County",25,197,7206,34.6933,273.3833
2020-06-23,2020,Georgia,"Terrell County",27,219,8978,30.0735,243.9296
2020-06-23,2020,Georgia,"Early County",31,255,10405,29.7934,245.0745
2020-06-23,2020,Virginia,"Northampton County",28,271,11998,23.3372,225.8710
2020-06-23,2020,"New Mexico","McKinley County",161,3155,72849,22.1005,433.0876
2020-06-23,2020,"New Jersey","Essex County",1765,18592,800401,22.0514,232.2836
2020-06-23,2020,"New Jersey","Union County",1139,16341,557320,20.4371,293.2068
2020-06-23,2020,Mississippi,"Neshoba County",60,907,29437,20.3825,308.1156
2020-06-23,2020,Mississippi,"Holmes County",37,491,18267,20.2551,268.7907
2020-06-23,2020,"New Jersey","Passaic County",1019,16794,510563,19.9584,328.9310
2020-06-23,2020,Georgia,"Turner County",16,171,8036,19.9104,212.7924
2020-06-23,2020,"New York","Nassau County",2686,41544,1363069,19.7055,304.7828
2020-06-23,2020,Louisiana,"St. John the Baptist Parish",85,928,43565,19.5111,213.0150
2020-06-23,2020,Louisiana,"Bienville Parish",26,209,13806,18.8324,151.3835
2020-06-23,2020,"New Jersey","Hudson County",1268,18773,679756,18.6538,276.1726
2020-06-23,2020,"New Jersey","Bergen County",1706,19069,937920,18.1892,203.3116
2020-06-23,2020,Alabama,"Tallapoosa County",70,525,40756,17.1754,128.8154
2020-06-23,2020,Louisiana,"East Feliciana Parish",33,273,19553,16.8772,139.6205
2020-06-23,2020,Georgia,"Wilcox County",15,122,8896,16.8615,137.1403
2020-06-23,2020,Georgia,"Mitchell County",38,440,22574,16.8335,194.9145
2020-06-23,2020,Iowa,"Tama County",29,432,17236,16.8252,250.6382
2020-06-23,2020,Georgia,"Dougherty County",153,1865,91522,16.7173,203.7761
2020-06-23,2020,Nebraska,"Dakota County",34,1757,20529,16.5619,855.8624
2020-06-23,2020,Georgia,"Upson County",43,328,26241,16.3866,124.9952
2020-06-23,2020,Colorado,"Morgan County",46,649,28123,16.3567,230.7720
2020-06-23,2020,Georgia,"Sumter County",50,540,30687,16.2935,175.9703
2020-06-23,2020,Virginia,"Galax, City of",11,227,6788,16.2051,334.4137
2020-06-23,2020,Mississippi,"Leflore County",48,430,30113,15.9400,142.7955
2020-06-23,2020,"New York","Westchester County",1547,34580,975321,15.8614,354.5499
2020-06-23,2020,Alabama,"Lowndes County",16,428,10362,15.4410,413.0477
2020-06-23,2020,Michigan,"Wayne County",2692,22268,1763822,15.2623,126.2486
2020-06-23,2020,Connecticut,"Hartford County",1352,11443,897417,15.0655,127.5104
2020-06-23,2020,"New Jersey","Ocean County",860,9466,589699,14.5837,160.5226
2020-06-23,2020,Connecticut,"Fairfield County",1367,16522,947328,14.4301,174.4063
2020-06-23,2020,"New York","Rockland County",469,13529,325027,14.4296,416.2423
2020-06-23,2020,Nebraska,"Hamilton County",13,62,9149,14.2092,67.7670
2020-06-23,2020,"New Jersey","Mercer County",530,7560,373362,14.1953,202.4845
2020-06-23,2020,Georgia,"Butts County",33,249,23556,14.0092,105.7056
2020-06-23,2020,Massachusetts,"Essex County",1081,15885,775860,13.9329,204.7405
2020-06-23,2020,Massachusetts,"Hampden County",649,6620,469188,13.8324,141.0948
2020-06-23,2020,Louisiana,"Orleans Parish",529,7571,388182,13.6276,195.0374
2020-06-23,2020,"New York","Suffolk County",2018,41056,1497595,13.4749,274.1462
2020-06-23,2020,Missouri,"Gentry County",9,56,6688,13.4569,83.7321
2020-06-23,2020,"New Jersey","Warren County",144,1221,107088,13.4469,114.0184
2020-06-23,2020,Alabama,"Butler County",27,581,20126,13.4155,288.6813
2020-06-23,2020,Massachusetts,"Norfolk County",919,9042,694389,13.2347,130.2152
2020-06-23,2020,"New Jersey","Somerset County",441,4818,333316,13.2307,144.5475
2020-06-23,2020,Indiana,"Decatur County",35,254,26480,13.2175,95.9215
2020-06-23,2020,"New Jersey","Middlesex County",1104,16640,837288,13.1854,198.7369
2020-06-23,2020,Mississippi,"Clarke County",21,183,16089,13.0524,113.7423
2020-06-23,2020,Louisiana,"St. James Parish",28,338,21485,13.0323,157.3191
2020-06-23,2020,Louisiana,"Iberville Parish",43,674,33122,12.9823,203.4901
2020-06-23,2020,Mississippi,"Kemper County",13,168,10082,12.8943,166.6336
2020-06-23,2020,"New Jersey","Morris County",642,6727,498847,12.8697,134.8510
2020-06-23,2020,Indiana,"Orange County",25,134,19623,12.7402,68.2872
2020-06-23,2020,Massachusetts,"Plymouth County",647,8604,509114,12.7084,168.9995
2020-06-23,2020,Massachusetts,"Suffolk County",976,19601,780685,12.5018,251.0744
2020-06-23,2020,Texas,"Crane County",6,47,4836,12.4069,97.1878
2020-06-23,2020,Connecticut,"New Haven County",1065,12225,862127,12.3532,141.8005
2020-06-23,2020,"South Carolina","Clarendon County",42,373,34156,12.2965,109.2048
2020-06-23,2020,Mississippi,"Attala County",23,337,18731,12.2791,179.9156
2020-06-23,2020,"New Mexico","San Juan County",156,2235,128221,12.1665,174.3084
2020-06-23,2020,Pennsylvania,"Delaware County",684,7097,563384,12.1409,125.9709
2020-06-23,2020,Louisiana,"Pointe Coupee Parish",27,225,22271,12.1234,101.0282
2020-06-23,2020,Alabama,"Hale County",18,269,14995,12.0040,179.3931
2020-06-23,2020,Montana,"Toole County",6,31,5031,11.9261,61.6180
2020-06-23,2020,Louisiana,"West Baton Rouge Parish",30,232,25518,11.7564,90.9162
2020-06-23,2020,"South Carolina","Lee County",21,265,17897,11.7338,148.0695
2020-06-23,2020,Maryland,"Kent County",23,195,19666,11.6953,99.1559
2020-06-23,2020,Oklahoma,"Greer County",7,66,6018,11.6318,109.6710
2020-06-23,2020,Iowa,"Louisa County",13,356,11238,11.5679,316.7823
2020-06-23,2020,Massachusetts,"Middlesex County",1812,23647,1582857,11.4477,149.3944
2020-06-23,2020,Ohio,"Monroe County",16,83,14239,11.2367,58.2906
2020-06-23,2020,"New Jersey","Monmouth County",700,8998,627551,11.1545,143.3828
2020-06-23,2020,Massachusetts,"Worcester County",905,12192,818249,11.0602,149.0011
2020-06-23,2020,Kentucky,"Butler County",14,246,12735,10.9933,193.1684
2020-06-23,2020,Louisiana,"Jefferson Parish",479,8888,437038,10.9601,203.3690
2020-06-23,2020,Virginia,"Emporia, City of",6,118,5495,10.9190,214.7407
2020-06-23,2020,Connecticut,"Middlesex County",177,1272,164110,10.7854,77.5090
2020-06-23,2020,Mississippi,"Carroll County",11,135,10221,10.7622,132.0810
2020-06-23,2020,"New Jersey","Sussex County",153,1178,143570,10.6568,82.0506
2020-06-23,2020,Colorado,"Chaffee County",20,78,18818,10.6281,41.4497
2020-06-23,2020,"New Jersey","Salem County",67,752,63776,10.5055,117.9127
2020-06-23,2020,"New York","Orange County",396,10681,378174,10.4714,282.4361
2020-06-23,2020,Michigan,"Macomb County",903,7414,864019,10.4512,85.8083
2020-06-23,2020,Illinois,"Union County",18,182,17267,10.4245,105.4034
2020-06-23,2020,Mississippi,"Humphreys County",9,95,8678,10.3711,109.4722
2020-06-23,2020,Mississippi,"Webster County",10,122,9868,10.1338,123.6319
2020-06-23,2020,Virginia,"Page County",24,264,23694,10.1291,111.4206
2020-06-23,2020,Georgia,"Worth County",21,291,20809,10.0918,139.8433
2020-06-23,2020,Georgia,"Jenkins County",9,78,8929,10.0795,87.3558
2020-06-23,2020,"Rhode Island","Providence County",637,12712,633704,10.0520,200.5984
2020-06-23,2020,Louisiana,"Jackson Parish",16,194,15952,10.0301,121.6148
2020-06-23,2020,Iowa,"Muscatine County",43,590,42923,10.0179,137.4554
2020-06-23,2020,Pennsylvania,"Philadelphia County",1564,25335,1569657,9.9640,161.4047
2020-06-23,2020,Mississippi,"Wilkinson County",9,85,9084,9.9075,93.5711
2020-06-23,2020,Mississippi,"Claiborne County",9,172,9106,9.8836,188.8864
2020-06-23,2020,Indiana,"Greene County",32,189,32431,9.8671,58.2776
2020-06-23,2020,Mississippi,"Lauderdale County",77,850,78221,9.8439,108.6665
2020-06-23,2020,Kentucky,"Adair County",19,108,19304,9.8425,55.9470
2020-06-23,2020,Massachusetts,"Bristol County",548,8081,557016,9.8381,145.0766
2020-06-23,2020,Mississippi,"Chickasaw County",17,202,17305,9.8238,116.7293
2020-06-23,2020,Texas,"Panola County",23,195,23574,9.7565,82.7182
2020-06-23,2020,Kentucky,"Jackson County",13,92,13369,9.7240,68.8159
2020-06-23,2020,Ohio,"Mahoning County",225,1669,231857,9.7043,71.9840
2020-06-23,2020,Louisiana,"Washington Parish",45,596,46449,9.6880,128.3128
2020-06-23,2020,Virginia,"Colonial Heights, City of",17,132,17582,9.6690,75.0768
2020-06-23,2020,Pennsylvania,"Montgomery County",787,8159,818677,9.6131,99.6608
2020-06-23,2020,Kansas,"Coffey County",8,53,8328,9.6061,63.6407
2020-06-23,2020,Alabama,"Bullock County",10,329,10478,9.5438,313.9912
2020-06-23,2020,Pennsylvania,"Lackawanna County",200,1630,211960,9.4357,76.9013
2020-06-23,2020,Arizona,"Apache County",67,2165,71602,9.3573,302.3659
2020-06-23,2020,Louisiana,"Union Parish",21,391,22537,9.3180,173.4925
2020-06-23,2020,Mississippi,"Lincoln County",32,384,34542,9.2641,111.1690
2020-06-23,2020,Georgia,"Baker County",3,36,3251,9.2279,110.7352
2020-06-23,2020,"South Carolina","Fairfield County",21,266,22868,9.1831,116.3197
2020-06-23,2020,Alabama,"Sumter County",12,270,13084,9.1715,206.3589
2020-06-23,2020,Louisiana,"Red River Parish",8,53,8723,9.1712,60.7589
2020-06-23,2020,"New York","Orleans County",38,277,41584,9.1381,66.6122
2020-06-23,2020,Kentucky,"Edmonson County",11,79,12063,9.1188,65.4895
2020-06-23,2020,Louisiana,"West Feliciana Parish",14,241,15376,9.1051,156.7378
2020-06-23,2020,Alabama,"Choctaw County",12,186,13188,9.0992,141.0373
2020-06-23,2020,Virginia,"Richmond County",8,318,8873,9.0161,358.3906
2020-06-23,2020,Arizona,"Navajo County",97,3166,107902,8.9896,293.4144
2020-06-23,2020,Louisiana,"Caddo Parish",223,2953,251069,8.8820,117.6171
2020-06-23,2020,Pennsylvania,"Bucks County",555,5580,626486,8.8589,89.0682
2020-06-23,2020,Georgia,"Wilkinson County",8,74,9147,8.7460,80.9008
2020-06-23,2020,Louisiana,"St. Charles Parish",46,697,52728,8.7240,132.1878
2020-06-23,2020,Michigan,"Oakland County",1081,11791,1241860,8.7047,94.9463
2020-06-23,2020,Georgia,"Dooly County",12,194,14053,8.5391,138.0488
2020-06-23,2020,Illinois,"Cook County",4439,87784,5238541,8.4737,167.5734
