CountyName,StateName,TotalNumOfCases,CaseFatalityRate
"Los Angeles County",California,88262,3.5927
"Cook County",Illinois,87784,5.0567
"Nassau County","New York",41544,6.4654
"Suffolk County","New York",41056,4.9152
"Westchester County","New York",34580,4.4737
"Maricopa County",Arizona,33883,1.9567
"Miami-Dade County",Florida,26821,3.3630
"Philadelphia County",Pennsylvania,25335,6.1733
"Harris County",Texas,24421,1.3718
"Middlesex County",Massachusetts,23647,7.6627
"Wayne County",Michigan,22268,12.0891
"Suffolk County",Massachusetts,19601,4.9793
"Bergen County","New Jersey",19069,8.9465
"Hudson County","New Jersey",18773,6.7544
"Essex County","New Jersey",18592,9.4933
"Prince George's County",Maryland,18571,3.5593
"Dallas County",Texas,17744,1.8260
"Passaic County","New Jersey",16794,6.0676
"Middlesex County","New Jersey",16640,6.6346
"Fairfield County",Connecticut,16522,8.2738
"Union County","New Jersey",16341,6.9702
"Essex County",Massachusetts,15885,6.8052
"Riverside County",California,14431,2.9866
"Montgomery County",Maryland,14244,5.0899
"Fairfax County",Virginia,13579,3.2771
"Rockland County","New York",13529,3.4666
"Providence County","Rhode Island",12712,5.0110
"New Haven County",Connecticut,12225,8.7117
"Worcester County",Massachusetts,12192,7.4229
"Oakland County",Michigan,11791,9.1680
"Broward County",Florida,11744,3.2101
"Hartford County",Connecticut,11443,11.8151
"San Diego County",California,11357,3.0026
"Clark County",Nevada,11186,3.5938
"Palm Beach County",Florida,11178,4.2584
"Marion County",Indiana,11099,6.4510
"Hennepin County",Minnesota,10988,6.8347
"Orange County",California,10737,2.5612
"Orange County","New York",10681,3.7075
"Milwaukee County",Wisconsin,10438,3.5735
"San Bernardino County",California,10010,2.3377
"Ocean County","New Jersey",9466,9.0851
"Lake County",Illinois,9411,4.3035
"Tarrant County",Texas,9386,2.2480
"King County",Washington,9371,6.4668
"Salt Lake County",Utah,9252,1.1349
"Mecklenburg County","North Carolina",9086,1.5849
"Norfolk County",Massachusetts,9042,10.1637
"Monmouth County","New Jersey",8998,7.7795
"Jefferson Parish",Louisiana,8888,5.3893
