StateName,ICUBeds,TotalPopulation,NumICUBedsPer10000People,CaseFatalityRate
Connecticut,173,904836,1.9119,9.3718
Michigan,0,11151,0.0000,8.9616
"New Jersey",64,272282,2.3505,7.6605
Pennsylvania,8,101209,0.7904,7.4596
Massachusetts,34,219258,1.5507,7.3550
"New Hampshire",10,60595,1.6503,6.1580
Ohio,0,28346,0.0000,5.9293
Louisiana,4,60694,0.6590,5.8561
Indiana,4,34171,1.1706,5.8430
Missouri,10,25204,3.9676,5.6294
Colorado,168,430521,3.9022,5.3924
"Rhode Island",0,49948,0.0000,5.3329
"New York",120,301272,3.9831,5.1990
Illinois,25,66997,3.7315,4.8604
Vermont,0,36740,0.0000,4.8318
Maryland,15,73842,2.0314,4.6752
Delaware,29,156821,1.8492,4.6537
"New Mexico",138,644693,2.1406,4.3944
Mississippi,15,31886,4.7043,4.3192
Georgia,3,18053,1.6618,4.1905
Washington,0,17878,0.0000,4.1751
Minnesota,4,16036,2.4944,4.1717
Kentucky,0,18264,0.0000,3.9028
"West Virginia",0,16055,0.0000,3.5480
Nevada,0,24790,0.0000,3.4998
Maine,54,107233,5.0358,3.4068
Oklahoma,0,22252,0.0000,3.3642
Florida,210,243163,8.6362,3.1315
California,282,1483683,1.9007,2.9507
Wisconsin,0,20637,0.0000,2.9456
Montana,0,9066,0.0000,2.8264
Virginia,10,35843,2.7899,2.7896
Alabama,6,52077,1.1521,2.7784
Oregon,2,16080,1.2438,2.6370
Iowa,0,7618,0.0000,2.6072
"South Carolina",6,25382,2.3639,2.5288
Idaho,105,380578,2.7590,2.4479
Arizona,0,70429,0.0000,2.3940
"North Dakota",0,2317,0.0000,2.3494
"North Carolina",20,147950,1.3518,2.3274
Hawaii,24,178724,1.3429,2.1066
Kansas,0,13387,0.0000,2.0618
Texas,10,57516,1.7386,1.8007
Wyoming,4,34642,1.1547,1.5949
Tennessee,25,74255,3.3668,1.4854
Arkansas,0,19202,0.0000,1.4817
Nebraska,10,32194,3.1062,1.4490
"South Dakota",0,2794,0.0000,1.3063
Alaska,0,3050,0.0000,1.1161
Utah,0,6384,0.0000,0.8291
